"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15565","User transfers money to another own account when balance is sufficient [1] 0.01","","2026-08-05","passed","2026-08-05","","api.transactions.TransferMoneyApiTest","api.transactions.TransferMoneyApiTest","shouldTransferMoneyToAnotherOwnAccountWhenBalanceIsSufficient"
"","37935","Transfer is not processed when manual review is required [1] 0.01","","2026-08-05","passed","2026-08-05","","api.transactions.TransferMoneyWithFraudApiTest","api.transactions.TransferMoneyWithFraudApiTest","shouldNotProcessTransferWhenManualReviewIsRequired"
"","108","User deletion is rejected when request without auth","","2026-08-05","passed","2026-08-05","","api.admin.DeleteUserTest","api.admin.DeleteUserTest","shouldRejectUserDeletionWhenRequestWithoutAuth"
"","17415","User cannot transfer money without confirming the transfer and see failure alert","","2026-08-05","passed","2026-08-05","","ui.transactions.TransferMoneyUiTest","ui.transactions.TransferMoneyUiTest","shouldRejectTransferWithoutConfirmation"
"","49264","User can transfer money between own accounts and see successful alert","","2026-08-05","passed","2026-08-05","","ui.transactions.TransferMoneyUiTest","ui.transactions.TransferMoneyUiTest","shouldTransferMoneyBetweenOwnAccounts"
"","11171","Transfer is rejected when amount is zero or negative [2] 0.0","","2026-08-05","passed","2026-08-05","","api.transactions.TransferMoneyApiTest","api.transactions.TransferMoneyApiTest","shouldRejectTransferWhenAmountIsNotPositive"
"","12342","Transfer is not processed when additional verification is required [2] 9999.99","","2026-08-05","passed","2026-08-05","","api.transactions.TransferMoneyWithFraudApiTest","api.transactions.TransferMoneyWithFraudApiTest","shouldNotProcessTransferWhenVerificationIsRequired"
"","41252","Transfer between own accounts is rejected when balance is insufficient [1] 0.01","","2026-08-05","passed","2026-08-05","","api.transactions.TransferMoneyApiTest","api.transactions.TransferMoneyApiTest","shouldRejectTransferBetweenOwnAccountsWhenBalanceIsInsufficient"
"","25374","Transfer to another user's account succeeds when balance is sufficient [1] 0.01","","2026-08-05","passed","2026-08-05","","api.transactions.TransferMoneyApiTest","api.transactions.TransferMoneyApiTest","shouldTransferMoneyToAnotherUserWhenBalanceIsSufficient"
"","13070","Transfer is not processed when manual review is required [2] 9999.99","","2026-08-05","passed","2026-08-05","","api.transactions.TransferMoneyWithFraudApiTest","api.transactions.TransferMoneyWithFraudApiTest","shouldNotProcessTransferWhenManualReviewIsRequired"
"","2963","User creation is rejected when the request has invalid param 3: username below minimum length","","2026-08-05","passed","2026-08-05","","api.admin.CreateUserTest","api.admin.CreateUserTest","shouldRejectUserCreationWhenRequestIsInvalid"
"","16120","User transfers money to another own account when balance is sufficient [3] 10000.0","","2026-08-05","passed","2026-08-05","","api.transactions.TransferMoneyApiTest","api.transactions.TransferMoneyApiTest","shouldTransferMoneyToAnotherOwnAccountWhenBalanceIsSufficient"
"","1812","User creation is rejected when the request has invalid param 5: empty password","","2026-08-05","passed","2026-08-05","","api.admin.CreateUserTest","api.admin.CreateUserTest","shouldRejectUserCreationWhenRequestIsInvalid"
"","3656","Transfer is processed when fraud check is approved [2] 9999.99","","2026-08-05","passed","2026-08-05","","api.transactions.TransferMoneyWithFraudApiTest","api.transactions.TransferMoneyWithFraudApiTest","shouldProcessTransferWhenFraudCheckIsApproved"
"","40601","User name is not updated when an invalid name is submitted","","2026-08-05","passed","2026-08-05","","ui.ChangeUserProfileUiTest","ui.ChangeUserProfileUiTest","shouldNotUpdateUserNameWhenNewNameIsInvalid"
"","14991","User cannot transfer money when recipient name does not match and see failure alert","","2026-08-05","passed","2026-08-05","","ui.transactions.TransferMoneyUiTest","ui.transactions.TransferMoneyUiTest","shouldRejectTransferWhenRecipientNameDoesNotMatch"
"","12090","Transfer is rejected when amount exceeds the maximum limit","","2026-08-05","passed","2026-08-05","","api.transactions.TransferMoneyApiTest","api.transactions.TransferMoneyApiTest","shouldRejectTransferWhenAmountExceedsMaximumLimit"
"","1859","User creation is rejected when the request has invalid param 2: username has invalid format","","2026-08-05","passed","2026-08-05","","api.admin.CreateUserTest","api.admin.CreateUserTest","shouldRejectUserCreationWhenRequestIsInvalid"
"","1596","User creation is rejected when the request has invalid param 6: password has invalid format","","2026-08-05","passed","2026-08-05","","api.admin.CreateUserTest","api.admin.CreateUserTest","shouldRejectUserCreationWhenRequestIsInvalid"
"","11737","Transfer is processed when fraud check is approved [1] 0.01","","2026-08-05","passed","2026-08-05","","api.transactions.TransferMoneyWithFraudApiTest","api.transactions.TransferMoneyWithFraudApiTest","shouldProcessTransferWhenFraudCheckIsApproved"
"","8200","Profile name update is rejected when the new name is invalid [3]    ","","2026-08-05","passed","2026-08-05","","api.ChangeUserProfileApiTest","api.ChangeUserProfileApiTest","shouldRejectProfileNameUpdateWhenNameIsInvalid"
"","2211","User creation is rejected when the request has invalid param 1: empty username","","2026-08-05","passed","2026-08-05","","api.admin.CreateUserTest","api.admin.CreateUserTest","shouldRejectUserCreationWhenRequestIsInvalid"
"","5684","Profile name update is rejected when auth header is empty","","2026-08-05","passed","2026-08-05","","api.ChangeUserProfileApiTest","api.ChangeUserProfileApiTest","shouldRejectUnauthorisedRequest"
"","25587","Transfer to another user is rejected when balance is insufficient [3] 10000.0","","2026-08-05","passed","2026-08-05","","api.transactions.TransferMoneyApiTest","api.transactions.TransferMoneyApiTest","shouldRejectTransferToAnotherUserWhenBalanceIsInsufficient"
"","2262","User deletion is rejected when the url param is null","","2026-08-05","passed","2026-08-05","","api.admin.DeleteUserTest","api.admin.DeleteUserTest","shouldRejectUserDeletionWhenUrlParamIsNull"
"","11175","Deposit is rejected when requested by an administrator","","2026-08-05","passed","2026-08-05","","api.transactions.MakeDepositApiTest","api.transactions.MakeDepositApiTest","shouldRejectDepositWhenRequestedByAdmin"
"","8169","Profile name update is rejected when the new name is invalid [2]  ","","2026-08-05","passed","2026-08-05","","api.ChangeUserProfileApiTest","api.ChangeUserProfileApiTest","shouldRejectProfileNameUpdateWhenNameIsInvalid"
"","28595","Transfer to another user is rejected when balance is insufficient [2] 9999.99","","2026-08-05","passed","2026-08-05","","api.transactions.TransferMoneyApiTest","api.transactions.TransferMoneyApiTest","shouldRejectTransferToAnotherUserWhenBalanceIsInsufficient"
"","12695","Transfer is not processed when additional verification is required [1] 0.01","","2026-08-05","passed","2026-08-05","","api.transactions.TransferMoneyWithFraudApiTest","api.transactions.TransferMoneyWithFraudApiTest","shouldNotProcessTransferWhenVerificationIsRequired"
"","7268","Profile name update is rejected when the new name is invalid [7] nytdkn ngcraqre1","","2026-08-05","passed","2026-08-05","","api.ChangeUserProfileApiTest","api.ChangeUserProfileApiTest","shouldRejectProfileNameUpdateWhenNameIsInvalid"
"","3543","Authorization header is empty when request is empty","","2026-08-05","passed","2026-08-05","","api.auth.UserApiTest","api.auth.UserApiTest","shouldNotReturnAuthorizationHeaderWhenRequestIsEmpty"
"","28668","Deposit is rejected when account does not exist","","2026-08-05","passed","2026-08-05","","api.transactions.MakeDepositApiTest","api.transactions.MakeDepositApiTest","shouldRejectDepositWhenAccountDoesNotExist"
"","4142","Transfer request is rejected when auth header is empty","","2026-08-05","passed","2026-08-05","","api.transactions.TransferMoneyApiTest","api.transactions.TransferMoneyApiTest","shouldRejectUnauthorisedDepositRequest"
"","10914","Deposit is rejected when amount is zero or negative [1] -0.01","","2026-08-05","passed","2026-08-05","","api.transactions.MakeDepositApiTest","api.transactions.MakeDepositApiTest","shouldRejectDepositWhenAmountIsNotPositive"
"","14277","User deposits money into own account","","2026-08-05","passed","2026-08-05","","api.transactions.MakeDepositApiTest","api.transactions.MakeDepositApiTest","shouldDepositMoneyIntoOwnAccount"
"","17480","User sees error alert when deposit amount exceeds the limit","","2026-08-05","passed","2026-08-05","","ui.transactions.MakeDepositUiTest","ui.transactions.MakeDepositUiTest","shouldRejectDepositWhenAmountExceedsLimit"
"","8244","Profile name update is rejected when the new name is invalid [5] AKYFZ","","2026-08-05","passed","2026-08-05","","api.ChangeUserProfileApiTest","api.ChangeUserProfileApiTest","shouldRejectProfileNameUpdateWhenNameIsInvalid"
"","17716","Transfer between own accounts is rejected when balance is insufficient [2] 9999.99","","2026-08-05","passed","2026-08-05","","api.transactions.TransferMoneyApiTest","api.transactions.TransferMoneyApiTest","shouldRejectTransferBetweenOwnAccountsWhenBalanceIsInsufficient"
"","10673","Deposit is rejected when amount exceeds the maximum limit","","2026-08-05","passed","2026-08-05","","api.transactions.MakeDepositApiTest","api.transactions.MakeDepositApiTest","shouldRejectDepositWhenAmountExceedsMaximumLimit"
"","5290","User deletion is rejected when requested by a regular user","","2026-08-05","passed","2026-08-05","","api.admin.DeleteUserTest","api.admin.DeleteUserTest","shouldRejectUserDeletionWhenRequestedByRegularUser"
"","3654","Admin creates a user when the request is valid","","2026-08-05","passed","2026-08-05","","api.admin.CreateUserTest","api.admin.CreateUserTest","shouldCreateUserWhenRequestIsValid"
"","25443","Transfer to another user's account succeeds when balance is sufficient [2] 9999.99","","2026-08-05","passed","2026-08-05","","api.transactions.TransferMoneyApiTest","api.transactions.TransferMoneyApiTest","shouldTransferMoneyToAnotherUserWhenBalanceIsSufficient"
"","9093","User transfers money to another own account when balance is sufficient [2] 9999.99","","2026-08-05","passed","2026-08-05","","api.transactions.TransferMoneyApiTest","api.transactions.TransferMoneyApiTest","shouldTransferMoneyToAnotherOwnAccountWhenBalanceIsSufficient"
"","20715","Deposit to another user's account is rejected","","2026-08-05","passed","2026-08-05","","api.transactions.MakeDepositApiTest","api.transactions.MakeDepositApiTest","shouldRejectDepositToAnotherUsersAccount"
"","12884","Transfer is not processed when manual review is required [3] 10000.0","","2026-08-05","passed","2026-08-05","","api.transactions.TransferMoneyWithFraudApiTest","api.transactions.TransferMoneyWithFraudApiTest","shouldNotProcessTransferWhenManualReviewIsRequired"
"","1802","User creation is rejected when the request has invalid param 4: username above the maximum length","","2026-08-05","passed","2026-08-05","","api.admin.CreateUserTest","api.admin.CreateUserTest","shouldRejectUserCreationWhenRequestIsInvalid"
"","1210","User creation is rejected when request without auth","","2026-08-05","passed","2026-08-05","","api.admin.CreateUserTest","api.admin.CreateUserTest","shouldRejectUserCreationWhenRequestWithoutAuth"
"","4808","User can deposit money into own account and see success alert","","2026-08-05","passed","2026-08-05","","ui.transactions.MakeDepositUiTest","ui.transactions.MakeDepositUiTest","shouldDepositMoneyIntoOwnAccount"
"","13125","Deposit succeeds when amount is within the allowed range [1] 0.1","","2026-08-05","passed","2026-08-05","","api.transactions.MakeDepositApiTest","api.transactions.MakeDepositApiTest","shouldDepositMoneyWhenAmountIsWithinAllowedRange"
"","12343","Deposit succeeds when amount is within the allowed range [2] 4999.99","","2026-08-05","passed","2026-08-05","","api.transactions.MakeDepositApiTest","api.transactions.MakeDepositApiTest","shouldDepositMoneyWhenAmountIsWithinAllowedRange"
"","8060","Profile name update is rejected when the new name is invalid [4] nnYWC 52388","","2026-08-05","passed","2026-08-05","","api.ChangeUserProfileApiTest","api.ChangeUserProfileApiTest","shouldRejectProfileNameUpdateWhenNameIsInvalid"
"","11648","Deposit is rejected when amount is zero or negative [2] 0.0","","2026-08-05","passed","2026-08-05","","api.transactions.MakeDepositApiTest","api.transactions.MakeDepositApiTest","shouldRejectDepositWhenAmountIsNotPositive"
"","9410","Profile name update is rejected when the new name is invalid [1] ","","2026-08-05","passed","2026-08-05","","api.ChangeUserProfileApiTest","api.ChangeUserProfileApiTest","shouldRejectProfileNameUpdateWhenNameIsInvalid"
"","20603","Transfer to another user's account succeeds when balance is sufficient [3] 10000.0","","2026-08-05","passed","2026-08-05","","api.transactions.TransferMoneyApiTest","api.transactions.TransferMoneyApiTest","shouldTransferMoneyToAnotherUserWhenBalanceIsSufficient"
"","10713","Transfer is rejected when receiver account does not exist","","2026-08-05","passed","2026-08-05","","api.transactions.TransferMoneyApiTest","api.transactions.TransferMoneyApiTest","shouldRejectTransferWhenReceiverAccountDoesNotExist"
"","3803","User creation is rejected when requested by a regular user","","2026-08-05","passed","2026-08-05","","api.admin.CreateUserTest","api.admin.CreateUserTest","shouldRejectUserCreationWhenRequestedByRegularUser"
"","4282","Authorization header is empty when invalid credentials was sent","","2026-08-05","passed","2026-08-05","","api.auth.UserApiTest","api.auth.UserApiTest","shouldNotReturnAuthorizationHeaderWhenInvalidCredentials"
"","26976","Transfer to another user is rejected when balance is insufficient [1] 0.01","","2026-08-05","passed","2026-08-05","","api.transactions.TransferMoneyApiTest","api.transactions.TransferMoneyApiTest","shouldRejectTransferToAnotherUserWhenBalanceIsInsufficient"
"","6982","Profile name is updated when the new name is valid","","2026-08-05","passed","2026-08-05","","api.ChangeUserProfileApiTest","api.ChangeUserProfileApiTest","shouldUpdateProfileNameWhenNameIsValid"
"","4496","Transfer with fraud check request is rejected when auth header is empty","","2026-08-05","passed","2026-08-05","","api.transactions.TransferMoneyWithFraudApiTest","api.transactions.TransferMoneyWithFraudApiTest","shouldRejectUnauthorisedTransferWithFraudRequest"
"","7641","Profile name update is rejected when the new name is invalid [8] 85 14","","2026-08-05","passed","2026-08-05","","api.ChangeUserProfileApiTest","api.ChangeUserProfileApiTest","shouldRejectProfileNameUpdateWhenNameIsInvalid"
"","10762","Transfer is rejected when amount is zero or negative [1] -0.01","","2026-08-05","passed","2026-08-05","","api.transactions.TransferMoneyApiTest","api.transactions.TransferMoneyApiTest","shouldRejectTransferWhenAmountIsNotPositive"
"","1478","User creation is rejected when the request has invalid param 7: password below minimum length","","2026-08-05","passed","2026-08-05","","api.admin.CreateUserTest","api.admin.CreateUserTest","shouldRejectUserCreationWhenRequestIsInvalid"
