"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","586","User creation is rejected when the request has invalid param 3: username below minimum length","","2026-07-25","passed","2026-07-25","","api.admin.CreateUserTest","api.admin.CreateUserTest","shouldRejectUserCreationWhenRequestIsInvalid"
"","5247","User delete is rejected when user is not exist","","2026-07-25","passed","2026-07-25","","api.admin.DeleteUserTest","api.admin.DeleteUserTest","shouldRejectUserDeletionWhenUserIsNotExist"
"","2866","Deposit is rejected when amount is zero or negative [2] 0.0","","2026-07-25","passed","2026-07-25","","api.transactions.MakeDepositApiTest","api.transactions.MakeDepositApiTest","shouldRejectDepositWhenAmountIsNotPositive"
"","3920","Transfer is not processed when additional verification is required [2] 9999.99","","2026-07-25","passed","2026-07-25","","api.transactions.TransferMoneyWithFraudApiTest","api.transactions.TransferMoneyWithFraudApiTest","shouldNotProcessTransferWhenVerificationIsRequired"
"","3188","Deposit is rejected when amount is zero or negative [1] -0.01","","2026-07-25","passed","2026-07-25","","api.transactions.MakeDepositApiTest","api.transactions.MakeDepositApiTest","shouldRejectDepositWhenAmountIsNotPositive"
"","4495","User deletion is rejected when the url param is null","","2026-07-25","passed","2026-07-25","","api.admin.DeleteUserTest","api.admin.DeleteUserTest","shouldRejectUserDeletionWhenUrlParamIsNull"
"","6595","Transfer to another user is rejected when balance is insufficient [3] 10000.0","","2026-07-25","passed","2026-07-25","","api.transactions.TransferMoneyApiTest","api.transactions.TransferMoneyApiTest","shouldRejectTransferToAnotherUserWhenBalanceIsInsufficient"
"","4071","Deposit is rejected when account does not exist","","2026-07-25","passed","2026-07-25","","api.transactions.MakeDepositApiTest","api.transactions.MakeDepositApiTest","shouldRejectDepositWhenAccountDoesNotExist"
"","2031","User creation is rejected when the request is empty","","2026-07-25","passed","2026-07-25","","api.admin.CreateUserTest","api.admin.CreateUserTest","shouldRejectUserCreationWhenRequestIsEmpty"
"","4169","User transfers money to another own account when balance is sufficient [1] 0.01","","2026-07-25","passed","2026-07-25","","api.transactions.TransferMoneyApiTest","api.transactions.TransferMoneyApiTest","shouldTransferMoneyToAnotherOwnAccountWhenBalanceIsSufficient"
"","3538","Transfer is not processed when manual review is required [3] 10000.0","","2026-07-25","passed","2026-07-25","","api.transactions.TransferMoneyWithFraudApiTest","api.transactions.TransferMoneyWithFraudApiTest","shouldNotProcessTransferWhenManualReviewIsRequired"
"","3983","User transfers money to another own account when balance is sufficient [2] 9999.99","","2026-07-25","passed","2026-07-25","","api.transactions.TransferMoneyApiTest","api.transactions.TransferMoneyApiTest","shouldTransferMoneyToAnotherOwnAccountWhenBalanceIsSufficient"
"","2478","Profile name update is rejected when the new name is invalid [1] ","","2026-07-25","passed","2026-07-25","","api.ChangeUserProfileApiTest","api.ChangeUserProfileApiTest","shouldRejectProfileNameUpdateWhenNameIsInvalid"
"","4067","Transfer is processed when fraud check is approved [2] 9999.99","","2026-07-25","passed","2026-07-25","","api.transactions.TransferMoneyWithFraudApiTest","api.transactions.TransferMoneyWithFraudApiTest","shouldProcessTransferWhenFraudCheckIsApproved"
"","4151","Transfer is processed when fraud check is approved [1] 0.01","","2026-07-25","passed","2026-07-25","","api.transactions.TransferMoneyWithFraudApiTest","api.transactions.TransferMoneyWithFraudApiTest","shouldProcessTransferWhenFraudCheckIsApproved"
"","2787","Deposit is rejected when requested by an administrator","","2026-07-25","passed","2026-07-25","","api.transactions.MakeDepositApiTest","api.transactions.MakeDepositApiTest","shouldRejectDepositWhenRequestedByAdmin"
"","3523","Transfer is rejected when sender account does not exist","","2026-07-25","passed","2026-07-25","","api.transactions.TransferMoneyApiTest","api.transactions.TransferMoneyApiTest","shouldRejectTransferWhenSenderAccountDoesNotExist"
"","1047","Admin creates a user when the request is valid","","2026-07-25","passed","2026-07-25","","api.admin.CreateUserTest","api.admin.CreateUserTest","shouldCreateUserWhenRequestIsValid"
"","8475","Deposit to another user's account is rejected","","2026-07-25","passed","2026-07-25","","api.transactions.MakeDepositApiTest","api.transactions.MakeDepositApiTest","shouldRejectDepositToAnotherUsersAccount"
"","4661","Transfer between own accounts is rejected when balance is insufficient [3] 10000.0","","2026-07-25","passed","2026-07-25","","api.transactions.TransferMoneyApiTest","api.transactions.TransferMoneyApiTest","shouldRejectTransferBetweenOwnAccountsWhenBalanceIsInsufficient"
"","1374","Transfer request is rejected when auth header is empty","","2026-07-25","passed","2026-07-25","","api.transactions.TransferMoneyApiTest","api.transactions.TransferMoneyApiTest","shouldRejectUnauthorisedDepositRequest"
"","2731","Transfer is not processed when additional verification is required [3] 10000.0","","2026-07-25","passed","2026-07-25","","api.transactions.TransferMoneyWithFraudApiTest","api.transactions.TransferMoneyWithFraudApiTest","shouldNotProcessTransferWhenVerificationIsRequired"
